City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,12.07,80,89,0.89,AU,1715696917
1,tralee,52.2704,-9.7026,13.14,94,75,2.06,IE,1715696917
2,bay city,43.5945,-83.8889,11.17,78,100,4.63,US,1715696918
3,ilulissat,69.2167,-51.1,-4.99,68,75,3.09,GL,1715696919
4,carnarvon,-24.8667,113.6333,22.41,66,0,3.18,AU,1715696919
5,st. john's,47.5649,-52.7093,6.27,97,100,7.15,CA,1715696920
6,makoua,0.0069,15.6333,25.34,89,100,4.09,CG,1715696921
7,al kharj,24.155,47.3346,40.32,12,4,2.49,SA,1715696921
8,san antonio de pale,-1.4014,5.6325,26.9,83,38,5.05,GQ,1715696922
9,punta arenas,-53.15,-70.9167,7.06,76,0,12.86,CL,1715696922
10,aykhal,66.0,111.5,-2.16,81,45,11.49,RU,1715696923
11,san ignacio de velasco,-16.3667,-60.95,15.23,65,100,5.32,BO,1715696923
12,adamstown,-25.066,-130.1015,21.74,81,10,2.53,PN,1715696924
13,quelimane,-17.8786,36.8883,22.97,83,40,4.32,MZ,1715696925
14,khandyga,62.6667,135.6,2.21,76,95,1.48,RU,1715696925
15,port lincoln,-34.7333,135.8667,14.64,80,100,2.16,AU,1715696926
16,vila franca do campo,37.7167,-25.4333,18.27,99,93,3.29,PT,1715696926
17,nuuk,64.1835,-51.7216,-0.66,93,75,4.63,GL,1715696927
18,pemba,-12.974,40.5178,29.39,65,20,6.69,MZ,1715696928
19,rio de janeiro,-22.9028,-43.2075,31.97,73,20,3.09,BR,1715696928
20,college,64.8569,-147.8028,5.18,92,75,1.54,US,1715696733
21,banjar,-8.19,114.9675,25.24,86,58,1.92,ID,1715696929
22,chonchi,-42.6128,-73.8092,3.56,80,7,1.02,CL,1715696930
23,fort bragg,35.139,-79.006,19.9,95,100,3.09,US,1715696930
24,queenstown,-31.8976,26.8753,26.61,22,19,6.73,ZA,1715696477
25,kristinestad,62.2743,21.376,22.83,63,99,4.84,FI,1715696931
26,pemangkat,1.1667,108.9667,25.93,91,100,3.3,ID,1715696932
27,haiku-pauwela,20.9219,-156.3051,21.69,87,0,2.57,US,1715696933
28,la ronge,55.1001,-105.2842,8.14,71,75,4.63,CA,1715696933
29,afaahiti,-17.75,-149.2833,22.93,72,68,9.28,PF,1715696934
30,waitangi,-43.9535,-176.5597,10.46,89,100,0.89,NZ,1715696934
31,port-aux-francais,-49.35,70.2167,3.3,63,99,8.81,TF,1715696935
32,hadibu,12.65,54.0333,30.5,63,11,0.51,YE,1715696936
33,lae,-6.7221,146.9847,23.53,87,81,0.64,PG,1715696936
34,coquimbo,-29.9533,-71.3436,11.85,87,0,3.09,CL,1715696937
35,rudbar,30.15,62.6,38.94,9,98,1.07,AF,1715696937
36,atlantic,39.4668,-74.6663,21.05,72,0,4.12,US,1715696938
37,kavieng,-2.5744,150.7967,27.92,80,100,3.95,PG,1715696939
38,olonkinbyen,70.9221,-8.7187,-1.43,96,100,4.28,SJ,1715696940
39,tsengel,49.4783,100.8894,14.95,41,100,1.32,MN,1715696940
40,kamaishi,39.2667,141.8833,9.89,68,0,2.49,JP,1715696941
41,hermanus,-34.4187,19.2345,21.56,56,100,7.41,ZA,1715696941
42,zadar,44.1197,15.2422,22.34,60,40,5.14,HR,1715696942
43,north battleford,52.7834,-108.2847,10.22,93,0,2.06,CA,1715696942
44,grytviken,-54.2811,-36.5092,-5.89,75,97,1.4,GS,1715696943
45,whitehorse,60.7161,-135.0538,0.45,81,40,2.06,CA,1715696348
46,chui,-33.6971,-53.4616,11.58,67,80,5.73,UY,1715696944
47,longyearbyen,78.2186,15.6401,1.91,69,75,1.54,SJ,1715696683
48,kiunga,-6.1219,141.2906,23.73,95,100,1.12,PG,1715696945
49,edinburgh of the seven seas,-37.0676,-12.3116,15.33,94,100,14.85,SH,1715696946
50,puerto natales,-51.7236,-72.4875,7.25,57,0,4.63,CL,1715696946
51,papatowai,-46.5619,169.4708,8.68,77,19,2.44,NZ,1715696947
52,undurkhaan,47.3194,110.6556,11.04,16,0,3.81,MN,1715696948
53,bismarck,46.8083,-100.7837,12.7,68,100,8.23,US,1715696948
54,puerto ayora,-0.7393,-90.3518,24.98,94,76,1.79,EC,1715696949
55,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1715696949
56,utrik,11.2278,169.8474,27.22,81,100,9.71,MH,1715696950
57,namibe,-15.1961,12.1522,24.08,75,30,4.0,AO,1715696951
58,mount gambier,-37.8333,140.7667,7.22,91,100,1.62,AU,1715696821
59,tiksi,71.6872,128.8694,-13.96,99,68,2.56,RU,1715696952
60,kodiak,57.79,-152.4072,2.73,81,0,3.6,US,1715696952
61,isafjordur,66.0755,-23.124,5.02,70,20,4.12,IS,1715696953
62,hawaiian paradise park,19.5933,-154.9731,21.69,97,75,2.06,US,1715696953
63,port elizabeth,-33.918,25.5701,31.17,63,0,3.6,ZA,1715696954
64,ushuaia,-54.8,-68.3,6.81,87,100,15.43,AR,1715696955
65,al burayqah,30.4062,19.5739,28.24,36,0,2.57,LY,1715696955
66,port alfred,-33.5906,26.891,22.88,80,0,0.89,ZA,1715696956
67,vorgashor,67.5833,63.95,-5.11,85,100,2.67,RU,1715696956
68,murzuq,25.9155,13.9184,36.65,10,1,5.38,LY,1715696957
69,konjic,43.6519,17.9614,16.49,97,100,1.16,BA,1715696958
70,tionk essil,12.7856,-16.5217,37.03,30,82,4.02,SN,1715696959
71,margaret river,-33.95,115.0667,16.06,71,0,4.07,AU,1715696959
72,benguela,-12.5763,13.4055,28.01,72,24,4.3,AO,1715696960
73,albany,42.6001,-73.9662,21.52,69,52,2.68,US,1715696816
74,al kharijah,25.4514,30.5464,31.15,11,2,7.92,EG,1715696961
75,invercargill,-46.4,168.35,8.9,82,47,2.68,NZ,1715696961
76,touros,-5.1989,-35.4608,29.79,74,76,5.95,BR,1715696962
77,nadi,-17.8,177.4167,26.0,78,75,0.0,FJ,1715696963
78,eldorado,-23.7869,-54.2836,14.4,91,100,4.2,BR,1715696963
79,lompoc,34.6391,-120.4579,11.5,95,100,2.06,US,1715696694
80,bredasdorp,-34.5322,20.0403,22.46,43,99,2.6,ZA,1715696964
81,wanxian,30.8039,108.3897,25.1,52,94,0.54,CN,1715696965
82,hamilton,39.1834,-84.5333,17.63,94,100,3.09,US,1715696966
83,barth,54.3635,12.7249,17.92,69,6,6.84,DE,1715696967
84,urengoy,65.9667,78.3667,-2.68,87,100,5.41,RU,1715696967
85,victoria,22.2855,114.1577,26.03,75,44,5.81,HK,1715696959
86,mont-joli,48.5839,-68.1921,13.72,58,75,5.14,CA,1715696968
87,saipan,15.1355,145.701,28.39,78,20,5.14,MP,1715696969
88,san pedro pochutla,15.7333,-96.4667,26.84,50,92,2.41,MX,1715696970
89,ribeira grande,38.5167,-28.7,19.22,52,40,7.2,PT,1715696970
90,rio gallegos,-51.6226,-69.2181,6.03,70,0,13.38,AR,1715696950
91,crane,31.3974,-102.3501,22.45,45,0,4.15,US,1715696971
92,koungou,-12.7336,45.2042,28.84,70,0,7.72,YT,1715696972
93,stepnoye,51.4,46.8667,12.59,40,87,3.12,RU,1715696972
94,nova sintra,14.8667,-24.7167,24.02,80,4,8.12,CV,1715696973
95,ola,59.5833,151.2833,3.97,77,4,1.57,RU,1715696974
96,lazaro cardenas,17.9583,-102.2,25.34,74,2,1.02,MX,1715696974
97,gizo,-8.103,156.8419,28.32,81,95,3.31,SB,1715696975
98,qinzhou,21.95,108.6167,25.3,88,38,4.63,CN,1715696975
99,yellowknife,62.456,-114.3525,6.9,100,75,3.09,CA,1715696976
100,rohru,31.2167,77.75,17.86,33,2,0.33,IN,1715696977
101,ostrogozhsk,50.8664,39.0756,11.71,50,100,4.26,RU,1715696977
102,masuguru,-11.3667,38.4167,30.43,54,96,0.67,TZ,1715696978
103,holualoa,19.6228,-155.9522,20.91,78,0,2.06,US,1715696978
104,songea,-10.6833,35.65,22.26,67,99,1.87,TZ,1715696979
105,siuri,23.9167,87.5333,34.61,35,91,3.41,IN,1715696979
106,constantia,44.1833,28.65,18.38,69,89,5.4,RO,1715696980
107,thompson,55.7435,-97.8558,7.09,49,40,2.06,CA,1715696981
108,tomah,43.9786,-90.504,12.97,54,0,3.09,US,1715696981
109,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,75,20,17.43,RU,1715696982
110,tazacorte,28.629,-17.9293,21.75,79,40,4.63,ES,1715696982
111,jeremoabo,-10.075,-38.4808,31.76,48,6,3.67,BR,1715696983
112,udachny,66.4167,112.4,-0.31,76,58,11.74,RU,1715696984
113,mahdia,35.5047,11.0622,28.97,42,72,7.59,TN,1715696984
114,ancud,-41.8697,-73.8203,5.49,81,0,2.71,CL,1715696985
115,kawalu,-7.3817,108.2082,23.39,97,99,1.0,ID,1715696985
116,stanley,54.868,-1.6985,17.77,88,75,3.6,GB,1715696986
117,anadyr,64.75,177.4833,-0.72,100,100,10.0,RU,1715696987
118,kapuskasing,49.4169,-82.4331,3.05,75,100,4.12,CA,1715696987
119,ust-nera,64.5667,143.2,-5.02,82,12,0.22,RU,1715696988
120,horodnya,51.8909,31.5974,11.23,51,99,1.7,UA,1715696988
121,parintins,-2.6283,-56.7358,27.28,84,99,0.56,BR,1715696989
122,wailua homesteads,22.0669,-159.378,22.44,91,40,2.57,US,1715696990
123,labytnangi,66.6572,66.4183,-2.01,79,64,1.08,RU,1715696990
124,hualien city,23.9769,121.6044,21.97,90,75,2.4,TW,1715696991
125,yuzhno-kurilsk,44.0306,145.8556,9.1,80,0,3.02,RU,1715696991
126,bandarbeyla,9.4942,50.8122,30.12,71,32,7.7,SO,1715696992
127,iqaluit,63.7506,-68.5145,-8.15,52,20,2.06,CA,1715696993
128,bethel,41.3712,-73.414,21.14,68,0,4.12,US,1715696993
129,mata-utu,-13.2816,-176.1745,28.89,76,85,7.45,WF,1715696994
130,jamestown,42.097,-79.2353,21.77,63,0,3.09,US,1715696994
131,kutum,14.2,24.6667,35.23,9,59,4.77,SD,1715696995
132,nemuro,43.3236,145.575,6.63,92,0,3.56,JP,1715696996
133,taco pozo,-25.6167,-63.2833,12.71,51,8,2.3,AR,1715696996
134,susuman,62.7833,148.1667,-3.34,82,77,1.34,RU,1715696997
135,pariaman,-0.619,100.12,27.03,86,100,1.75,ID,1715696997
136,long beach,33.767,-118.1892,16.65,83,100,2.06,US,1715696754
137,banswada,18.3833,77.8833,33.26,34,11,1.53,IN,1715696998
138,al wajh,26.2455,36.4525,26.97,54,0,10.29,SA,1715696999
139,fuxin,42.0156,121.6589,14.23,37,91,3.03,CN,1715697000
140,lebu,-37.6167,-73.65,9.72,56,0,2.51,CL,1715697000
141,mugia,43.1041,-9.2179,13.84,77,26,9.36,ES,1715697001
142,tateyama,34.9833,139.8667,16.72,84,99,4.56,JP,1715697001
143,baukau,51.5526,7.2042,29.47,34,10,4.25,DE,1715697002
144,avarua,-21.2078,-159.775,25.03,83,100,2.06,CK,1715697003
145,nar'yan-mar,67.6713,53.087,-0.5,87,64,4.47,RU,1715697004
146,gargalianoi,37.0667,21.6333,16.86,86,100,1.59,GR,1715697006
147,kudahuvadhoo,2.6708,72.8944,29.7,78,100,6.46,MV,1715697006
148,yarmouth,41.7057,-70.2286,18.41,76,100,5.36,US,1715697007
149,uturoa,-16.7333,-151.4333,27.57,67,94,9.91,PF,1715697007
150,bikenibeu village,1.3673,173.1241,28.98,84,20,3.6,KI,1715697008
151,banchory,57.0517,-2.4882,18.41,83,100,3.51,GB,1715697009
152,port mathurin,-19.6833,63.4167,25.17,74,42,6.02,MU,1715697009
153,greymouth,-42.4667,171.2,8.61,87,100,3.12,NZ,1715697010
154,cabo san lucas,22.8909,-109.9124,29.17,37,0,3.6,MX,1715696766
155,bamboo flat,11.7,92.7167,29.05,84,20,0.51,IN,1715697011
156,saint-philippe,-21.3585,55.7679,24.77,73,50,4.61,RE,1715697012
157,sungai penuh,-2.0833,101.3833,19.94,96,100,1.89,ID,1715697012
158,lihue,21.9789,-159.3672,22.77,89,40,2.57,US,1715697013
159,palenque,17.5167,-91.9667,30.09,62,0,0.0,MX,1715697014
160,yueyang,29.3333,113.0919,22.45,62,100,3.3,CN,1715697015
161,basud,14.065,122.9642,26.78,90,61,2.65,PH,1715697015
162,novyy urgal,51.0736,132.5642,5.22,90,100,0.39,RU,1715697016
163,klyuchi,52.2667,79.1667,18.17,79,100,6.9,RU,1715697016
164,moussoro,13.6408,16.4901,43.81,7,25,5.37,TD,1715697017
165,acara,-1.9608,-48.1967,32.0,65,78,1.3,BR,1715697018
166,san patricio,28.017,-97.5169,24.92,67,43,3.29,US,1715697018
167,northampton,40.8754,-75.2499,21.5,74,90,3.9,US,1715696790
168,kathmandu,27.7167,85.3167,24.12,69,20,3.6,NP,1715696761
169,diamantino,-14.4086,-56.4461,23.58,62,44,4.45,BR,1715697020
170,atafu village,-8.5421,-172.5159,28.88,79,100,7.55,TK,1715697021
171,matanzas,23.0411,-81.5775,31.42,62,20,3.09,CU,1715697022
172,iskateley,67.6803,53.1512,-0.55,87,63,4.47,RU,1715697022
173,akureyri,65.6835,-18.0878,10.96,37,0,0.51,IS,1715697023
174,cabedelo,-6.9811,-34.8339,31.37,69,56,5.72,BR,1715697024
175,sao tome,0.3365,6.7273,31.02,79,75,4.12,ST,1715697024
176,pagar alam,-4.0167,103.2667,21.94,98,100,0.69,ID,1715697025
177,san jose de jachal,-30.2406,-68.7469,6.9,55,60,2.46,AR,1715697026
178,george town,5.4112,100.3354,29.97,84,20,3.09,MY,1715697019
179,tual,-5.6667,132.75,28.13,76,14,9.38,ID,1715697027
180,mahibadhoo,3.7833,72.9667,29.27,77,100,4.71,MV,1715697028
181,kourou,5.1552,-52.6478,30.03,79,44,2.0,GF,1715697028
182,bilibino,68.0546,166.4372,-6.0,88,100,3.54,RU,1715697029
183,soio,-6.1349,12.3689,28.25,73,73,4.66,AO,1715697029
184,illizi,26.4833,8.4667,39.89,7,0,5.61,DZ,1715697030
185,banda aceh,5.5577,95.3222,27.88,81,100,1.52,ID,1715697030
186,sinabang,2.4803,96.3801,27.08,86,100,0.25,ID,1715697033
187,luena,-11.7833,19.9167,30.1,30,84,3.09,AO,1715697033
188,dehui,44.5333,125.7,9.39,43,32,2.76,CN,1715697034
189,lagoa,39.05,-27.9833,15.41,64,93,5.92,PT,1715697034
190,caleta de carquin,-11.0925,-77.6267,20.69,79,52,2.44,PE,1715697035
191,dunedin,-45.8742,170.5036,7.11,84,85,2.04,NZ,1715697036
192,manokwari,-0.8667,134.0833,26.6,83,100,2.3,ID,1715697037
193,kamin-kashyrskyi,51.6241,24.9586,15.45,42,71,3.22,UA,1715697037
194,al badari,26.9926,31.4155,29.69,15,0,8.03,EG,1715697106
195,talnakh,69.4865,88.3972,-2.11,94,93,3.99,RU,1715697128
196,enewetak,11.3474,162.3373,27.26,83,87,9.62,MH,1715697128
197,skrunda,56.6833,22.0167,17.77,58,84,2.14,LV,1715697129
198,fort st. john,56.2499,-120.8529,9.94,46,75,8.23,CA,1715697129
199,menongue,-14.6585,17.691,24.61,40,85,5.3,AO,1715697130
200,merta,26.65,74.0333,36.07,17,86,3.28,IN,1715697131
201,suomussalmi,64.8869,28.9078,17.58,58,89,4.31,FI,1715697131
202,nikolayevsk-on-amure,53.1406,140.73,7.34,68,100,1.79,RU,1715697132
203,georgetown,5.4112,100.3354,29.97,84,20,3.09,MY,1715697019
204,port moresby,-9.4431,147.1797,23.68,94,20,2.57,PG,1715697004
205,al jawf,29.5,38.75,27.44,18,0,2.34,SA,1715697133
206,aksu,41.1231,80.2644,27.33,17,15,3.26,CN,1715697134
207,steamboat springs,40.485,-106.8317,11.3,81,0,3.09,US,1715697134
208,pahrump,36.2083,-115.9839,23.51,22,99,2.64,US,1715697097
209,el tigre,8.8875,-64.2454,31.58,42,69,6.26,VE,1715697136
210,tazovsky,67.4667,78.7,-3.69,89,100,5.42,RU,1715697136
211,sola,-13.8833,167.55,26.69,82,100,9.35,VU,1715697137
212,ghormach,35.7306,63.7826,30.05,26,100,4.0,AF,1715697137
213,nadym,65.5333,72.5167,-2.24,92,44,6.76,RU,1715697139
214,guerrero negro,27.9769,-114.0611,16.81,77,23,6.26,MX,1715697139
215,brookings,44.3114,-96.7984,17.36,53,0,3.09,US,1715697140
216,trincomalee,8.5711,81.2335,29.36,77,86,3.17,LK,1715697140
217,ponta delgada,37.7333,-25.6667,18.44,59,75,5.66,PT,1715697141
218,caldas novas,-17.7417,-48.625,30.72,23,0,2.57,BR,1715697142
219,happy valley-goose bay,53.3168,-60.3315,10.17,57,20,4.12,CA,1715697142
220,nabire,-3.3667,135.4833,25.19,94,88,1.53,ID,1715697143
221,shizunai-furukawacho,42.3339,142.3669,9.29,80,37,3.62,JP,1715697143
222,el haouaria,37.05,11.0144,24.01,69,29,5.48,TN,1715697144
223,abra pampa,-22.7205,-65.697,13.35,12,1,2.24,AR,1715697145
224,atuncolla,-15.6833,-70.15,12.03,50,85,1.35,PE,1715697145
225,buenavista,8.9769,125.4089,26.67,85,100,2.78,PH,1715697146
226,umba,66.6871,34.3429,2.66,100,100,1.34,RU,1715697146
227,hirado,33.3597,129.5531,17.44,56,0,1.61,JP,1715697023
228,tura,25.5198,90.2201,28.02,57,89,1.56,IN,1715697148
229,mulayjah,27.271,48.4242,33.12,32,53,6.23,SA,1715697149
230,igarka,67.4667,86.5833,0.01,83,100,6.26,RU,1715697149
231,sitka,57.0531,-135.33,6.94,81,100,3.09,US,1715697150
232,guixi,28.2886,117.2133,19.49,75,35,1.43,CN,1715697150
233,oak grove,45.4168,-122.6401,11.9,83,40,3.09,US,1715697117
234,saldanha,-33.0117,17.9442,20.03,80,85,2.54,ZA,1715697151
235,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,100,40,0.51,ID,1715697152
236,gebeit,21.0667,36.3167,32.1,20,0,6.18,SD,1715697152
237,nagqu,31.5,92.0,4.56,70,76,1.67,CN,1715697153
238,impfondo,1.6381,18.0667,21.96,99,100,0.66,CG,1715697154
239,grand gaube,-20.0064,57.6608,24.22,77,23,7.28,MU,1715697155
240,sydney mines,46.2367,-60.2177,13.78,79,75,5.66,CA,1715697155
241,vila velha,-20.3297,-40.2925,29.98,99,0,6.17,BR,1715697156
242,hoa binh,20.8133,105.3383,25.13,88,85,1.89,VN,1715696872
243,matinha,-3.1006,-45.0336,31.53,63,100,2.52,BR,1715697157
244,linxia chengguanzhen,35.6003,103.2064,16.24,39,36,0.91,CN,1715697158
245,mirnyy,62.5353,113.9611,9.02,79,100,4.02,RU,1715697158
246,the pas,53.8251,-101.2541,6.01,75,0,2.57,CA,1715697159
247,kilju,40.9642,129.3278,17.85,59,100,1.55,KP,1715697160
248,masterton,-40.9597,175.6575,12.71,82,100,2.26,NZ,1715697160
249,cefalu,38.0386,14.0229,30.33,65,66,1.34,IT,1715697161
250,divnomorskoye,44.5011,38.1353,13.43,80,94,3.53,RU,1715697162
251,lillehammer,61.1146,10.4674,21.16,34,5,4.58,NO,1715697163
252,ati,13.2154,18.3353,42.9,7,100,4.33,TD,1715697163
253,aasiaat,68.7098,-52.8699,-6.16,72,47,2.96,GL,1715697164
254,polyarnyy,69.1989,33.4478,4.19,100,100,4.22,RU,1715697164
255,starobaltachevo,56.0013,55.9213,6.21,57,56,2.87,RU,1715697165
256,badger,64.8,-147.5333,5.14,93,100,1.54,US,1715697166
257,pacific grove,36.6177,-121.9166,12.46,90,100,1.34,US,1715696937
258,vorkuta,67.5,64.0,-4.94,85,100,5.36,RU,1715697167
259,g'azalkent,41.5581,69.7708,24.2,42,56,2.84,UZ,1715697167
260,revuca,48.6835,20.1173,19.48,55,93,1.39,SK,1715697168
261,richland,40.7834,-82.5499,19.46,77,20,3.6,US,1715697168
262,ubinskoye,55.3068,79.6802,12.08,79,83,6.36,RU,1715697169
263,itaituba,-4.2761,-55.9836,32.09,66,40,1.54,BR,1715697170
264,fortuna,40.5982,-124.1573,11.48,97,100,0.0,US,1715697216
265,kidal,18.4411,1.4078,41.86,7,50,1.66,ML,1715697217
266,vikhorevka,56.1201,101.1636,17.77,42,100,1.88,RU,1715696963
267,barabai,-2.5833,115.3833,24.96,88,95,0.63,ID,1715697213
268,margate,51.3813,1.3862,14.61,83,100,2.68,GB,1715696865
269,ta`u,-14.2336,-169.5144,28.38,80,100,10.16,AS,1715697219
270,sao joao da barra,-21.6403,-41.0511,30.05,68,0,5.44,BR,1715697171
271,bali chak,22.3667,87.55,30.81,60,69,6.14,IN,1715697220
272,abepura,-2.6333,140.5833,24.45,94,40,1.03,ID,1715697220
273,kununurra,-15.7667,128.7333,21.99,78,28,1.54,AU,1715697221
274,guiberoua,6.2392,-6.1727,31.53,60,99,2.21,CI,1715697222
275,linhares,-19.3911,-40.0722,34.0,39,0,2.51,BR,1715697223
276,arraial do cabo,-22.9661,-42.0278,27.98,78,40,4.63,BR,1715697223
277,las heras,-46.5419,-68.9359,4.64,38,0,5.53,AR,1715697224
278,vallenar,-28.5708,-70.7581,19.65,29,100,0.56,CL,1715697039
279,mccook,40.2019,-100.6257,17.57,79,0,2.06,US,1715697225
280,ordynskoye,54.3656,81.8994,17.07,86,92,6.61,RU,1715697226
281,nova vicosa,-17.8919,-39.3719,32.65,48,2,2.44,BR,1715697227
